Productcat,Date,Sales
ProdCat23,01-03-2014,
ProdCat23,04-03-2014,
ProdCat23,05-03-2014,
ProdCat23,06-03-2014,
ProdCat23,07-03-2014,
ProdCat23,08-03-2014,
ProdCat23,11-03-2014,
ProdCat23,12-03-2014,
ProdCat23,13-03-2014,
ProdCat23,14-03-2014,
ProdCat23,15-03-2014,
ProdCat23,18-03-2014,
ProdCat23,19-03-2014,
ProdCat23,20-03-2014,
ProdCat23,21-03-2014,
ProdCat23,22-03-2014,
ProdCat23,25-03-2014,
ProdCat23,26-03-2014,
ProdCat23,27-03-2014,
ProdCat23,28-03-2014,
ProdCat23,29-03-2014,
ProdCat24,01-03-2014,
ProdCat24,04-03-2014,
ProdCat24,05-03-2014,
ProdCat24,06-03-2014,
ProdCat24,07-03-2014,
ProdCat24,08-03-2014,
ProdCat24,11-03-2014,
ProdCat24,12-03-2014,
ProdCat24,13-03-2014,
ProdCat24,14-03-2014,
ProdCat24,15-03-2014,
ProdCat24,18-03-2014,
ProdCat24,19-03-2014,
ProdCat24,20-03-2014,
ProdCat24,21-03-2014,
ProdCat24,22-03-2014,
ProdCat24,25-03-2014,
ProdCat24,26-03-2014,
ProdCat24,27-03-2014,
ProdCat24,28-03-2014,
ProdCat24,29-03-2014,
ProdCat25,01-03-2014,
ProdCat25,04-03-2014,
ProdCat25,05-03-2014,
ProdCat25,06-03-2014,
ProdCat25,07-03-2014,
ProdCat25,08-03-2014,
ProdCat25,11-03-2014,
ProdCat25,12-03-2014,
ProdCat25,13-03-2014,
ProdCat25,14-03-2014,
ProdCat25,15-03-2014,
ProdCat25,18-03-2014,
ProdCat25,19-03-2014,
ProdCat25,20-03-2014,
ProdCat25,21-03-2014,
ProdCat25,22-03-2014,
ProdCat25,25-03-2014,
ProdCat25,26-03-2014,
ProdCat25,27-03-2014,
ProdCat25,28-03-2014,
ProdCat25,29-03-2014,
ProdCat26,01-03-2014,
ProdCat26,04-03-2014,
ProdCat26,05-03-2014,
ProdCat26,06-03-2014,
ProdCat26,07-03-2014,
ProdCat26,08-03-2014,
ProdCat26,11-03-2014,
ProdCat26,12-03-2014,
ProdCat26,13-03-2014,
ProdCat26,14-03-2014,
ProdCat26,15-03-2014,
ProdCat26,18-03-2014,
ProdCat26,19-03-2014,
ProdCat26,20-03-2014,
ProdCat26,21-03-2014,
ProdCat26,22-03-2014,
ProdCat26,25-03-2014,
ProdCat26,26-03-2014,
ProdCat26,27-03-2014,
ProdCat26,28-03-2014,
ProdCat26,29-03-2014,
ProdCat27,01-03-2014,
ProdCat27,04-03-2014,
ProdCat27,05-03-2014,
ProdCat27,06-03-2014,
ProdCat27,07-03-2014,
ProdCat27,08-03-2014,
ProdCat27,11-03-2014,
ProdCat27,12-03-2014,
ProdCat27,13-03-2014,
ProdCat27,14-03-2014,
ProdCat27,15-03-2014,
ProdCat27,18-03-2014,
ProdCat27,19-03-2014,
ProdCat27,20-03-2014,
ProdCat27,21-03-2014,
ProdCat27,22-03-2014,
ProdCat27,25-03-2014,
ProdCat27,26-03-2014,
ProdCat27,27-03-2014,
ProdCat27,28-03-2014,
ProdCat27,29-03-2014,
ProdCat28,01-03-2014,
ProdCat28,04-03-2014,
ProdCat28,05-03-2014,
ProdCat28,06-03-2014,
ProdCat28,07-03-2014,
ProdCat28,08-03-2014,
ProdCat28,11-03-2014,
ProdCat28,12-03-2014,
ProdCat28,13-03-2014,
ProdCat28,14-03-2014,
ProdCat28,15-03-2014,
ProdCat28,18-03-2014,
ProdCat28,19-03-2014,
ProdCat28,20-03-2014,
ProdCat28,21-03-2014,
ProdCat28,22-03-2014,
